cur-name-th,faculty_name_th,lecture-position,lecture-first-name,lecture-last-name,bachelor-degree,bachelor-institute,bachelor-graduate-year,doctor-degree,doctor-institute,doctor-graduate-year
หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,อาจารย์,นาอิ่ม,แลนิ,ร.บ.,มหาวิทยาลัยธรรมศาสตร์,2557,Ph.D.,"University of Groningen, the Netherlands",2564
"หลักสูตรวารสารศาสตรบัณฑิต สาขาวิชาสื่อศึกษา
(หลักสูตรนานาชาติ)",คณะวารสารศาสตร์และสื่อสารมวลชน,อาจารย์,รุ่ย,จาง,B.A.,"Renmin University of China, China",2545,M.A.,"Loughborough, UK",2556
"หลักสูตรวารสารศาสตรบัณฑิต สาขาวิชาสื่อศึกษา
(หลักสูตรนานาชาติ)",คณะวารสารศาสตร์และสื่อสารมวลชน,รองศาสตราจารย์ ดร.,นิธิดา,แสงสิงแก้ว,ว.บ.,มหาวิทยาลัยธรรมศาสตร์,2538,Ph.D.,"University of Surrey, UK",2554
"หลักสูตรวารสารศาสตรบัณฑิต สาขาวิชาสื่อศึกษา
(หลักสูตรนานาชาติ)",คณะวารสารศาสตร์และสื่อสารมวลชน,ผู้ช่วยศาสตราจารย์,อัญรินทร์,อมรอิสริยาชัย,ว.บ.,มหาวิทยาลัยธรรมศาสตร์,2550,ว.ม.,มหาวิทยาลัยธรรมศาสตร์,2552
"หลักสูตรวารสารศาสตรบัณฑิต สาขาวิชาสื่อศึกษา
(หลักสูตรนานาชาติ)",คณะวารสารศาสตร์และสื่อสารมวลชน,ผู้ช่วยศาสตราจารย์,กานตชาติ,เรื่องรัตนอัมพร,ว.บ.,มหาวิทยาลัยธรรมศาสตร์,2551,M.A.,"Birmingham City University, UK",2553
"หลักสูตรวารสารศาสตรบัณฑิต สาขาวิชาสื่อศึกษา
(หลักสูตรนานาชาติ)",คณะวารสารศาสตร์และสื่อสารมวลชน,อาจารย์,เรย์,หวัง,B.A.,"Trinity University, USA.",2553,M.S.,"London School of Economics and Political Science, UK",2556
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาวิทยาการเรียนรู้,คณะวิทยาการเรียนรู้และศึกษาศาสตร์,รองศาสตราจารย์ ดร.,ฐิติกาญจน์,อัศตรกุล,ศษ.บ.,มหาวิทยาลัยศิลปากร,2549,ศศ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2559
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาวิทยาการเรียนรู้,คณะวิทยาการเรียนรู้และศึกษาศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,ไอยเรศ,บุญฤทธิ์,ค.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2546,อ.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2560
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาวิทยาการเรียนรู้,คณะวิทยาการเรียนรู้และศึกษาศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,กิตติ,คงตุก,ค.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2545,ปร.ด.,มหาวิทยาลัยมหิดล,2557
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาวิทยาการเรียนรู้,คณะวิทยาการเรียนรู้และศึกษาศาสตร์,ผู้ช่วยศาสตรจารย์ ดร.,ชลิดา,จูงพันธ์,วท.บ.,มหาวิทยาลัยมหาสารคาม,2551,ปร.ด.,มหาวิทยาลัยมหาสารคาม,2560
หลักสูตรศิลปศาสตรบัณฑิต สาขาวิชาวิทยาการเรียนรู้,คณะวิทยาการเรียนรู้และศึกษาศาสตร์,ผู้ช่วยศาสตราจารย์ ดร.,ศรัณวิชญ์,พรหมสาขา ณ สกลนคร,ผ.บ.,มหาวิทยาลัยธรรมศาสตร์,2552,Ph.D,"University of Sassari, Italy",2558
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวัสดุศาสตร์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,จิรภา,ตั้งศรีตระกูล,วท.บ.,มหาวิทยาลัยธรรมศาสตร์,2549,Ph.D.,"University of Manchester, UK",2562
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวัสดุศาสตร์,คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,เบญญา,เชิดหิรัญกร,วท.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2538,Ph.D.,"University of Manchester, UK",2547
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวัสดุศาสตร์,คณะวิทยาศาสตร์และเทคโนโลยี,ผู้ช่วยศาสตราจารย์,สมยศ,คงคารัตน์,วท.บ.,มหาวิทยาลัยอุบลราชธานี,2543,Ph.D.,"University of New South Wales, Australia",2554
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวัสดุศาสตร์,คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,นันทพร,คงคะจันทร์,วท.บ.,จุฬาลงกรณ์มหาวิทยาลัย,2539,Ph.D.,"University of Southern California, U.S.A.",2548
หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวัสดุศาสตร์,คณะวิทยาศาสตร์และเทคโนโลยี,รองศาสตราจารย์,ชิราวุฒิ,เพชรเย็น,วท.บ.,มหาวิทยาลัยรามคำแหง,2544,ปร.ด.,จุฬาลงกรณ์มหาวิทยาลัย,2552
